Index,Source,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Cross_Reference,Entry_Tone,Other_Forms,Notes,Locked,Source_ID
1,ced,achuja,ᎠᏧᏣ,noun,,,boy,,ạchűja,plural:anichuja^ᎠᏂᏧᏣ^ạnichűja,,False,4.1
2,ced,achvya,ᎠᏨᏯ,noun,,,male animal,,ạchvya,plural:anichvya^ᎠᏂᏨᏯ^ạnichvya,,False,5.1
3,ced,ada,ᎠᏓ,noun,,,wood,,ạda,,,False,6.1
4,ced,a’da,ᎠᏓ,noun,,,young animal,,ạ̋’da,plural:anida^ᎠᏂᏓ^ạni̋da,,False,7.1
5,ced,adadega,ᎠᏓᏕᎦ,verb (v.i.),,,it’s bouncing,,àdạdéga,1st person singular with animate/ inanimate object:gadadega^ᎦᏓᏕᎦ^gạdạdéga|3rd person singular non-progressive remote past tense:udadinvsv’i^ᎤᏓᏗᏅᏒᎢ^ùdạdǐnv̂sv̌’i|3rd person singular present habitual:adadego’i^ᎠᏓᏕᎪᎢ^àdạdégó’i|imperative with animate/ inanimate direct objects:hadaduga^ᎭᏓᏚᎦ^hạdạdùga|3rd person singular infinitive:udadinvdi^ᎤᏓᏗᏅᏗ^udạdǐnv̂di,,False,8.1
6,ced,adadega,ᎠᏓᏕᎦ,verb (v.i.),,,he/she is limping,,àdạdéga,1st person singular with animate/ inanimate object:gadadega^ᎦᏓᏕᎦ^gạdạdéga|3rd person singular non-progressive remote past tense:udadesv’i^ᎤᏓᏕᏒᎢ^ùdạdésv̌’i|3rd person singular present habitual:adadego’i^ᎠᏓᏕᎪᎢ^àdạdégó’i|imperative with animate/ inanimate direct objects:hadaduga^ᎭᏓᏚᎦ^hạdạdùga|3rd person singular infinitive:udadinvdi^ᎤᏓᏗᏅᏗ^udạdǐnv̂di,,False,9.1
7,ced,adadinvdiha,ᎠᏓᏗᏅᏗᎭ,verb (v.i.),,,he/she is bouncing it,,àdạdǐnv̂dịha,1st person singular with animate/ inanimate object:gadadinvdiha^ᎦᏓᏗᏅᏗᎭ^gạdạdǐnv̂dịha|3rd person singular non-progressive remote past tense:udadinvtanv’i^ᎤᏓᏗᏅᏔᏅᎢ^ùdạdǐnv̂tạnv̌’i|3rd person singular present habitual:adadinvdisgo’i^ᎠᏓᏗᏅᏗᏍᎪᎢ^àdạdǐnv̂disgó’i|imperative with animate/ inanimate direct objects:hadadinvda^ᎭᏓᏗᏅᏓ^hạdạdinv̀da|3rd person singular infinitive:udadinvdohdi^ᎤᏓᏗᏅᏙᏗ^udạdǐnv̂dọhdi,,False,10.1
8,ced,adadlohiha,ᎠᏓᏠᎯᎭ,verb (v.i.),,,he/she is putting on a belt,,àdádlohị́ha,1st person singular with animate/ inanimate object:gadadlohiha^ᎦᏓᏠᎯᎭ^gạdádlohị́ha|3rd person singular non-progressive remote past tense:udadlohlv’i^ᎤᏓᏠᏢᎢ^ùdádlohlv̌’i|3rd person singular present habitual:adadlohiho’i^ᎠᏓᏠᎯᎰᎢ^àdádlohịhó’i|imperative with animate/ inanimate direct objects:hadadloga^ᎭᏓᏠᎦ^hạdàdlǒga|3rd person singular infinitive:udadlosdi^ᎤᏓᏠᏍᏗ^udàdlǒsdi,,False,11.1
9,ced,adadlosdi,ᎠᏓᏠᏍᏗ,noun,,,belt,,ạdàdlǒsdi,plural:didadlosdi^ᏗᏓᏠᏍᏗ^didàdlǒsdi,,False,12.1
10,ced,adadolisdi,ᎠᏓᏙᎵᏍᏗ,noun,,,prayer,,ạdadǒlîsdi,,,False,13.1
11,ced,adadolisdiha,ᎠᏓᏙᎵᏍᏗᎭ,verb (v.i.),,,he/she is praying,,àdadǒlîsdịha,1st person singular with animate/ inanimate object:gadadolisdiha^ᎦᏓᏙᎵᏍᏗᎭ^gạdadǒlîsdịha|3rd person singular non-progressive remote past tense:udadolistanv’i^ᎤᏓᏙᎵᏍᏔᏅᎢ^ùdadǒlîstạnv̌’i|3rd person singular present habitual:adadolisdisgo’i^ᎠᏓᏙᎵᏍᏓᏍᎪᎢ^àdadǒlîsdisgó’i|imperative with animate/ inanimate direct objects:hadadolisda^ᎭᏓᏙᎵᏍᏓ^hạdadolìsda|3rd person singular infinitive:udadolisdohdi^ᎤᏓᏙᎵᏍᏙᏗ^udadǒlîsdọhdi,,False,14.1
12,ced,adage’i,ᎠᏓᎨᎢ,adjective,,,tender,,ạ́dạge̋’i,plural:anidage’i^ᎠᏂᏓᎨᎢ^ạnídạge̋’i,,False,15.1
13,ced,adageyhdi,ᎠᏓᎨᏳᏗ,noun,,,love,,ạdagẹyhdi,,,False,16.1
14,ced,adahihi,ᎠᏓᎯᎯ,noun,,,thing that kills,,ạdǎhịhi,plural:anadahihi^ᎠᎾᏓᎯᎯ^ạnạdǎhịhi,,False,17.1
15,ced,adahlinesahldi,ᎠᏓᏟᏁᏌᎵᏗ,noun,,,purse,,ạdahlịnésạhldi,plural:didahlinesahldi^ᏗᏓᏟᏁᏌᎵᏗ^didahlịnésạhldi,,False,18.1
16,ced,adahnehdi,ᎠᏓᏁᏗ,noun,,,gift,,ạdǎhnẹhdi,plural:didahnehdi^ᏗᏓᏁᏗ^didǎhnẹhdi,,False,19.1
17,ced,adahnoyeha,ᎠᏓᏃᏰᎭ,verb (v.i.),,,he/she is fanning himself/herself,,àdạhnóyẹha,1st person singular with animate/ inanimate object:gadanoyeha^ᎦᏓᏃᏰᎭ^gạdànóyẹha|3rd person singular non-progressive remote past tense:udahnoyehv’i^ᎤᏓᏃᏰᎲᎢ^ùdạhnóyehv̌’i|3rd person singular present habitual:adahnoyesgo’i^ᎠᏓᏃᏰᏍᎪᎢ^àdạhnóyesgó’i|imperative with animate/ inanimate direct objects:hadahnoyvla^ᎭᏓᏃᏰᎳ^hạdạhnoyv̌la|3rd person singular infinitive:udahnoyehdi^ᎤᏓᏃᏰᏗ^udạhnoyẹ́hdi,,False,20.1
18,ced,adahnoyo,ᎠᏓᏃᏲ,noun,,,fan,,ạdạhnoyo,plural:didahnoyo^ᏗᏓᏃᏲ^didạhnoyo,,False,21.1
19,ced,adahwahtvhidoha,ᎠᏓᏩᏛᎯᏙᎭ,verb (v.i.),,,he/she is visiting,,àdahwạhtvhǐdôha,1st person singular with animate/ inanimate object:gadawahtvhidoha^ᎦᏓᏩᏛᎯᏙᎭ^gạdàwạhtvhǐdôha|3rd person singular non-progressive remote past tense:udahwahtvhidolv’i^ᎤᏓᏩᏛᎯᏙᎸᎢ^ùdahwạhtvhǐdôlv̌’i|3rd person singular present habitual:adahwahtvhidoho’i^ᎠᏓᏩᏛᎯᏙᎰᎢ^àdahwạhtvhǐdôhó’i|imperative with animate/ inanimate direct objects:hadahwahtvhida^ᎭᏓᏩᏛᎯᏓ^hạdahwạhtvhǐda|3rd person singular infinitive:udahwahtvhidasdi^ᎤᏓᏩᏛᎯᏓᏍᏗ^udahwạhtvhǐdâsdi,,False,22.1
20,ced,adahyasdiha,ᎠᏓᏯᏍᏗᎭ,verb (v.i.),,,he/she is stretching,,àdahyâsdịha,1st person singular with animate/ inanimate object:gadayasdiha^ᎦᏓᏯᏍᏗᎭ^gạdàyâsdịha|3rd person singular non-progressive remote past tense:udahyastanv’i^ᎤᏓᏯᏍᏔᏅᎢ^ùdahyâstạnv̌’i|3rd person singular present habitual:adahyasdisgo’i^ᎠᏓᏯᏍᏗᏍᎪᎢ^àdahyâsdisgó’i|imperative with animate/ inanimate direct objects:hadahyasda^ᎭᏓᏯᏍᏓ^hạdahyàsda|3rd person singular infinitive:udahyasdohdi^ᎤᏓᏯᏍᏙᏗ^udahyàsdọ́hdi,,False,23.1
21,ced,adahyesgi,ᎠᏓᏰᏍᎩ,noun,,,cancer,,ạdahye̋sgi,,,False,24.1
22,ced,adahyiha,ᎠᏓᏱᎭ,verb (v.t.),,,he/she is denying him/her,,àdạhyị́ha,1st person singular with animate object:jiyada’yiha^ᏥᏯᏓᏱᎭ^jiyạdạ’yị́ha|1st person singular with inanimate object:gada’yiha^ᎦᏓᏱᎭ^gạdạ’yị́ha|3rd person singular non-progressive remote past tense:udahyilv’i^ᎤᏓᏱᎸᎢ^ùdạhyịlv̌’i|3rd person singular present habitual:adahyiho’i^ᎠᏓᏱᎰᎢ^àdạhyịhó’i|imperative with animate direct objects:hiyadayiga^ᎯᏯᏓᏱᎦ^hiyạdạyìga|imperative with inanimate direct objects:hadayhga^ᎭᏓᏱᎦ^hạdạyhga|3rd person singular infinitive:udayhsdi^ᎤᏓᏱᏍᏗ^udạyhsdi,,False,25.1
23,ced,adahyoneha,ᎠᏓᏲᏁᎭ,verb (v.i.),,,he/she is committing adultery,,àdahyónẹha,1st person singular with animate/ inanimate object:gadayoneha^ᎦᏓᏲᏁᎭ^gạdàyónẹha|3rd person singular non-progressive remote past tense:udahyonelv’i^ᎤᏓᏲᏁᎸᎢ^ùdahyónelv̌’i|3rd person singular present habitual:adahyoneho’i^ᎠᏓᏲᏁᎰᎢ^àdahyónẹhó’i|imperative with animate/ inanimate direct objects:hadahyonvla^ᎭᏓᏲᏅᎳ^hạdahyonv̌la|3rd person singular infinitive:udahyonehdi^ᎤᏓᏲᏁᏗ^udahyonẹ́hdi,,False,26.1
24,ced,adahyonehdi,ᎠᏓᏲᏁᏗ,noun,,,adultery,,ạdahyonẹ́hdi,,,False,27.1
25,ced,adahyonehi,ᎠᏓᏲᏁᎯ,noun,,,adulterer,,ạdahyone̋hi,plural:dinadahyonehi^ᏗᎾᏓᏲᏁᎯ^dinạdahyone̋hi,,False,28.1
26,ced,adajagaliha,ᎠᏓᏣᎦᎵᎭ,verb (v.i.),,,it’s ripping,,àdajạgạlị́ha,1st person singular with animate/ inanimate object:gadajagali’a^ᎦᏓᏣᎦᎵᎠ^gạdajạgạlí’a|3rd person singular non-progressive remote past tense:udajagalvhv’i^ᎤᏓᏣᎦᎸᎲᎢ^ùdajạgạlvhv̌’i|3rd person singular present habitual:adajagalisgo’i^ᎠᏓᏣᎦᎵᏍᎪᎢ^àdajạgạlǐsgọ́’i|imperative with animate/ inanimate direct objects:hadajagala^ᎭᏓᏣᎦᎳ^hạdajạgạla|3rd person singular infinitive:udajagahldi^ᎤᏓᏣᎦᎵᏗ^udajạgạhldi,,False,29.1
27,ced,adajvysgi,ᎠᏓᏨᎢᏍᎩ,noun,,,something that stings,,ạdajv̋ysgi,plural:anadajvysgi^ᎠᎾᏓᏨᎢᏍᎩ^ạnạdajv̋ysgi,,False,30.1
28,ced,adakeha,ᎠᏓᎨᎭ,verb (v.i.),,,he/she is looking at himself/herself in a mirror,,àdakẹ́ha,1st person singular with animate/ inanimate object:gadakeha^ᎦᏓᎨᎭ^gạdàkẹ́ha|3rd person singular non-progressive remote past tense:udakehv’i^ᎤᏓᎨᎲᎢ^ùdakěhv́’i|3rd person singular present habitual:adakesgo’i^ᎠᏓᎨᏍᎪᎢ^àdakěsgọ́’i|imperative with animate/ inanimate direct objects:hadakvla^ᎭᏓᎬᎳ^hạdakv̌la|3rd person singular infinitive:udakehdi^ᎤᏓᎨᏗ^udakẹ́hdi,,False,31.1
29,ced,adakehdi,ᎠᏓᎨᏗ,noun,,,mirror,,ạdakẹ́hdi,plural:didakehdi^ᏗᏓᎨᏗ^didakẹ́hdi,,False,32.1
30,ced,adaleniha,ᎠᏓᎴᏂᎭ,verb (v.i.),,,it’s beginning,,àdạlenị́ha,3rd person singular non-progressive remote past tense:udalenvhv’i^ᎤᏓᎴᏅᎲᎢ^ùdạlenvhv̌’i|3rd person singular present habitual:adalenisgo’i^ᎠᏓᎴᏂᏍᎪᎢ^àdạlenǐsgọ́’i|3rd person singular infinitive:udalenhdi^ᎤᏓᎴᏅᏗ^udạlẹnhdi,,False,33.1
31,ced,adananesvhvsga,ᎠᏓᎾᏁᏒᎲᏍᎦ,verb (v.i.),,,he/she is shopping,,àdanạnésvhṿ́sga,1st person singular with animate/ inanimate object:gadananesvhvsga^ᎦᏓᎾᏁᏒᎲᏍᎦ^gạdanạnésvhṿ́sga|3rd person singular non-progressive remote past tense:udananesvhnv’i^ᎤᏓᎾᏁᏒᏅᎢ^ùdanạnésvhnv̌’i|3rd person singular present habitual:adananesvhvsgo’i^ᎠᏓᎾᏁᏒᎲᏍᎪᎢ^àdanạnésvhṿsgó’i|imperative with animate/ inanimate direct objects:hadananesvhvga^ᎭᏓᎾᏁᏒᎲᎦ^hạdanạnèsvhv̀ga|3rd person singular infinitive:udananesvhvsdi^ᎤᏓᎾᏁᏒᎲᏍᏗ^udanạnèsv̌hṿ́sdi,,False,34.1
32,ced,adana’nv’i,ᎠᏓᎾᏅᎢ,noun,,,store,,àdanạ́’nv̋’i,plural:dadana’nv’i^ᏓᏓᎾᏅᎢ^dàdanạ́’nv̋’i,,False,35.1
33,ced,adanawsdiha,ᎠᏓᎾᏩᏍᏗᎭ,verb (v.i.),,,he/she is taking off running,,àdạnâwsdị́ha,1st person singular with animate/ inanimate object:gadanawsdiha^ᎦᏓᎾᏩᏍᏗᎭ^gạdạnâwsdị́ha|3rd person singular non-progressive remote past tense:udanawstanv’i^ᎤᏓᎾᏩᏍᏔᏅᎢ^ùdạnâwstạnv̌’i|3rd person singular present habitual:adanawsdisgo’i^ᎠᏓᎾᏩᏍᏗᏍᎪᎢ^àdạnâwsdǐsgọ́’i|imperative with animate/ inanimate direct objects:hadanawsda^ᎭᏓᎾᏩᏍᏓ^hạdạnàwsda|3rd person singular infinitive:udanawsdohdi^ᎤᏓᎾᏩᏍᏙᏗ^udạnàwsdọ́hdi,,False,36.1
34,ced,adanedliyv’a,ᎠᏓᏁᏟᏴᎠ,verb (v.i.),,,he/she is changing,,àdạnědlíyṿ’a,1st person singular with animate/ inanimate object:gadanedliyv’a^ᎦᏓᏁᏟᏴᎠ^gạdạnědlíyṿ’a|3rd person singular non-progressive remote past tense:udanedliyvsv’i^ᎤᏓᏁᏟᏴᏒᎢ^ùdạnědlíyv̀sv̌’i|3rd person singular present habitual:adanedliyvsgo’i^ᎠᏓᏁᏟᏴᏍᎪᎢ^àdạnědlíyv̀sgó’i|imperative with animate/ inanimate direct objects:hadanedliyvna^ᎭᏓᏁᏟᏴᎾ^hạdạnedliyv̌na|3rd person singular infinitive:udanedliyvsdi^ᎤᏓᏁᏟᏴᏍᏗ^udạnědlíyv̀sdi,,False,37.1
35,ced,adanedliyvsdiha,ᎠᏓᏁᏟᏴᏍᏗᎭ,verb (v.i.),,,he/she is taking turns with him/her,,àdạnědlíyv̀sdịha,1st person singular with animate/ inanimate object:gadanedliyvsdiha^ᎦᏓᏁᏟᏴᏍᏗᎭ^gạdạnědlíyv̀sdịha|3rd person singular non-progressive remote past tense:udanedliyvstanv’i^ᎤᏓᏁᏟᏴᏍᏔᏅᎢ^ùdạnědlíyv̀stạnv̌’i|3rd person singular present habitual:adanedliyvsdisgo’i^ᎠᏓᏁᏟᏴᏍᏗᏍᎪᎢ^àdạnědlíyv̀sdisgó’i|imperative with animate/ inanimate direct objects:hadanedliyvsda^ᎭᏓᏁᏟᏴᏍᏓ^hạdạnedliyv̀sda|3rd person singular infinitive:udanedliyvsdohdi^ᎤᏓᏁᏟᏴᏍᏙᏗ^udạnědlíyv̀sdọhdi,,False,38.1
36,ced,adanedliyvsdisgi,ᎠᏓᏁᏟᏴᏍᏗᏍᎩ,noun,,,alternate,,ạdạnědlíyv̀sdi̋sgi,plural:anadanedliyvsdisgi^ᎠᎾᏓᏁᏟᏴᏍᏗᏍᎩ^ạnạdạnědlíyv̀sdi̋sgi,,False,39.1
37,ced,adanehlv’i,ᎠᏓᏁᏢᎢ,noun,,,provisions,,àdanéhlv̋’i,plural:dadanehlv’i^ᏓᏓᏁᏢᎢ^dàdánehlv̋’i,,False,40.1
38,ced,adanelv’i,ᎠᏓᏁᎸᎢ,noun,,,building,,àdanělv̋’i,plural:dadanelv’i^ᏓᏓᏁᎸᎢ^dàdanělv̋’i,,False,41.1
39,ced,adanhdo,ᎠᏓᏅᏙ,noun,,,heart,,ạdạnhdo,plural:didanhdo^ᏗᏓᏅᏙ^di-dạnhdo,,False,42.1
40,ced,adanhteha,ᎠᏓᏅᏖᎭ,verb (v.i.),,,he/she is thinking,,àdạnhtẹ́ha,1st person singular with animate/ inanimate object:gadanvteha^ᎦᏓᏅᏖᎭ^gạdanv̀tẹ́ha|3rd person singular non-progressive remote past tense:udanhtehlv’i^ᎤᏓᏅᏖᏢᎢ^ùdạnhtěhlv́’i|3rd person singular present habitual:adanhtesgo’i^ᎠᏓᏅᏖᏍᎪᎢ^àdạnhtěsgọ́’i|imperative with animate/ inanimate direct objects:hadanhtvla^ᎭᏓᏅᏛᎳ^hạdạnhtv̌la|3rd person singular infinitive:udanhtehdi^ᎤᏓᏅᏖᏗ^udạnhtẹhdi,,False,43.1
41,ced,adanhtehdi,ᎠᏓᏅᏖᏗ,noun,,,thought,,ạdǎnhtẹhdi,,,False,44.1
42,ced,adanhtehilo’a,ᎠᏓᏅᏖᎯᎶᎠ,verb (v.i.),,,he/she is pondering,,àdạnhtěhílọ’a,1st person singular with animate/ inanimate object:gadanvtehilo’a^ᎦᏓᏅᏖᎯᎶᎠ^gạdanv̀těhílọ’a|3rd person singular non-progressive remote past tense:udanhtehilo’v’i^ᎤᏓᏅᏖᎯᎶᎥᎢ^ùdạnhtěhílọ’v̌’i|3rd person singular present habitual:adanhtehilosgo’i^ᎠᏓᏅᏖᎯᎶᏍᎪᎢ^àdạnhtěhílòsgó’i|imperative with animate/ inanimate direct objects:hadanhtehiloja^ᎭᏓᏅᏖᎯᎶᏣ^hạdạnhtehilǒja|3rd person singular infinitive:udanhtehilosdi^ᎤᏓᏅᏖᎯᎶᏍᏗ^udạnhtěhílòsdi,,False,45.1
43,ced,adanohyvhlisdiha,ᎠᏓᏃᏴᏟᏍᏗᎭ,verb (v.i.),,,he/she is making noise,,àdạnohyvhlịsdị́ha,1st person singular with animate/ inanimate object:gadanoyvlisdiha^ᎦᏓᏃᏴᎵᏍᏗᎭ^gạdạnoyv̀lịsdị́ha|3rd person singular non-progressive remote past tense:udanohyvhlistanv’i^ᎤᏓᏃᏴᏟᏍᏔᏅᎢ^ùdạnohyvhlịstạnv́’i|3rd person singular present habitual:adanohyvhlisdisgo’i^ᎠᏓᏃᏴᏟᏍᏗᏍᎪᎢ^àdạnohyvhlịsdǐsgọ́’i|imperative with animate/ inanimate direct objects:hadanohyvhlisda^ᎭᏓᏃᏴᏟᏍᏓ^hạdạnohyvhlịsda|3rd person singular infinitive:udanohyvhlisdohdi^ᎤᏓᏃᏴᏟᏍᏙᏗ^udạnohyvhlịsdọ́hdi,,False,46.1
44,ced,adansini,ᎠᏓᏅᏏᏂ,verb (v.i.),,,he/she is crawling,,àdạnsǐni,1st person singular with animate/ inanimate object:gadanasini^ᎦᏓᎾᏏᏂ^gạdạnàsǐni|3rd person singular non-progressive remote past tense:udansinvsv’i^ᎤᏓᎾᏏᏅᏒᎢ^ùdạnsǐnv̂sv̌’i|3rd person singular present habitual:adansinego’i^ᎠᏓᎾᏏᏁᎪᎢ^àdạnsǐnêgó’i|imperative with animate/ inanimate direct objects:hadansinuga^ᎭᏓᎾᏏᏄᎦ^hạdạnsinùga|3rd person singular infinitive:udansinvsdi^ᎤᏓᎾᏏᏅᏍᏗ^udạnsǐnv̂sdi,,False,47.1
45,ced,adanuteyoha,ᎠᏓᏄᏖᏲᎭ,verb (v.i.),,,it’s twisting,,àdạnúteyọ́ha,1st person singular with animate/ inanimate object:gadanuteyoha^ᎦᏓᏄᏖᏲᎭ^gạdạnúteyọ́ha|3rd person singular non-progressive remote past tense:udanuteyolv’i^ᎤᏓᏄᏖᏲᎸᎢ^ùdạnúteyôlv̌’i|3rd person singular present habitual:adanuteyoho’i^ᎠᏓᏄᏖᏲᎰᎢ^àdạnúteyọ́hó’i|imperative with animate/ inanimate direct objects:hadanuteyaga^ᎭᏓᏄᏖᏯᎦ^hạdạnùteyạga|3rd person singular infinitive:udanuteyodi^ᎤᏓᏄᏖᏲᏗ^udạnùtěyôdi,,False,48.1
46,ced,adanv’a,ᎠᏓᏅᎠ,verb (v.i.),,,he/she is moving from one place to another,,àdạ́nṿ’a,1st person singular with animate/ inanimate object:gada’nv’a^ᎦᏓᏅᎠ^gạdạ́’nṿ’a|3rd person singular non-progressive remote past tense:uda’nvsv’i^ᎤᏓᏅᏒᎢ^ùdạ́’nv̀sv̌’i|3rd person singular present habitual:ada’nvsgo’i^ᎠᏓᏅᏍᎪᎢ^àdạ́’nvsgó’i|imperative with animate/ inanimate direct objects:hada’nvna^ᎭᏓᏅᎾ^hạdạ’nv̌na|3rd person singular infinitive:uda’nvsdi^ᎤᏓᏅᏍᏗ^udạ’nv̀sdi,,False,49.1
47,ced,adanvsga,ᎠᏓᏅᏍᎦ,verb (v.i.),,,he/she is ordering it,,àdạnv̌sga,1st person singular with animate/ inanimate object:gadanvsga^ᎦᏓᏅᏍᎦ^gạdạnv́sga|3rd person singular non-progressive remote past tense:udanvsv’i^ᎤᏓᏅᏒᎢ^ùdạnv̌sv́’i|3rd person singular present habitual:adanvsgo’i^ᎠᏓᏅᏍᎪᎢ^àdạnv̌sgọ́’i|imperative with animate/ inanimate direct objects:hadanvla^ᎭᏓᏅᎳ^hadanv̌la|3rd person singular infinitive:udanvsdi^ᎤᏓᏅᏍᏗ^udạnv̌sdi,,False,50.1
48,ced,adasdayhdi’i,ᎠᏓᏍᏓᏴᏗᎢ,noun,,,kitchen,,ạdasdàyhdi̋’i,plural:didasdayhdi’i^ᏗᏓᏍᏓᏴᏗᎢ^didasdàyhdi̋’i,,False,51.1
49,ced,adasdayvhvsga,ᎠᏓᏍᏓᏴᎲᏍᎦ,verb (v.i.),,,he/she is cooking a meal,,àdasdâyvhṿ́sga,1st person singular with animate/ inanimate object:gadasdayvhvsga^ᎦᏓᏍᏓᏴᎲᏍᎦ^gạdàsdâyṿhv́sga|3rd person singular non-progressive remote past tense:udasdayvhnv’i^ᎤᏓᏍᏓᏴᏅᎢ^ùdasdâyvhnv̌’i|3rd person singular present habitual:adasdayvhvsgo’i^ᎠᏓᏍᏓᏴᎲᏍᎪᎢ^àdasdâyvhṿsgó’i|imperative with animate/ inanimate direct objects:hadasdayvhvga^ᎭᏓᏍᏓᏴᎲᎦ^hạdasdàyvhv̀ga|3rd person singular infinitive:udasdayhdi^ᎤᏓᏍᏓᏴᏗ^udasdàyhdi,,False,52.1
50,ced,adawehi,ᎠᏓᏪᎯ,noun,,,magician,,ạdǎwéhi,plural:anidawehi^ᎠᏂᏓᏪᎯ^ạnidǎwéhi,,False,53.1
51,ced,adawehi,ᎠᏓᏪᎯ,adjective,,,magical,,ạdǎwe̋hi,plural:anidawehi^ᎠᏂᏓᏪᎯ^ạnidǎwe̋hi,,False,54.1
52,ced,adawelagi’a,ᎠᏓᏪᎳᎩᎠ,verb (v.i.),,,it’s burning,,àdạwělạ́gị’a,1st person singular with animate/ inanimate object:gadawelagi’a^ᎦᏓᏪᎳᎩᎠ^gạdạwělạ́gị’a|3rd person singular non-progressive remote past tense:udawelagv’i^ᎤᏓᏪᎳᎬᎢ^ùdạwělạ́gv̌’i|3rd person singular present habitual:adawelagisgo’i^ᎠᏓᏪᎳᎩᏍᎪᎢ^àdạwělạ́gìsgó’i|imperative with animate/ inanimate direct objects:hadawelaga^ᎭᏓᏪᎳᎦ^hạdạwelạga|3rd person singular infinitive:udawelagisdi^ᎤᏓᏪᎳᎩᏍᏗ^udạwělạ́gìsdi,,False,55.1
53,ced,adawelagisgi,ᎠᏓᏪᎳᎩᏍᎩ,noun,,,flame,,ạdạwělạgìsgi,plural:didawelagisgi^ᏗᏓᏪᎳᎩᏍᎩ^didạwělạgìsgi,,False,56.1
54,ced,adawelagisgi,ᎠᏓᏪᎳᎩᏍᎩ,noun,,,gunpowder,,ạdạwelạgìsgi,,,False,57.1
55,ced,adawesolvsdiha,ᎠᏓᏪᏐᎸᏍᏗᎭ,verb (v.i.),,,he/she is resting,,àdạwésolv̌sdị́ha,1st person singular with animate/ inanimate object:gadawesolvsdiha^ᎦᏓᏪᏐᎸᏍᏗᎭ^gạdạwésolv̌sdị́ha|3rd person singular non-progressive remote past tense:udawesolvstanv’i^ᎤᏓᏪᏐᎸᏍᏔᏅᎢ^ùdạwésolv̌stạ́nv̌’i|3rd person singular present habitual:adawesolvsdisgo’i^ᎠᏓᏪᏐᎸᏍᏗᏍᎪᎢ^àdạwésolv̌sdísgó’i|imperative with animate/ inanimate direct objects:hadawesolvsda^ᎭᏓᏪᏐᎸᏍᏓ^hạdạwèsolv̌sda|3rd person singular infinitive:udawesolvsdohdi^ᎤᏓᏪᏐᎸᏍᏙᏗ^udạwèsǒlv́sdọhdi,,False,58.1
56,ced,Adawi,ᎠᏓᏫ,noun,,,Adam,,ǎdạ́wi,,,False,59.1
57,ced,adawo’a,ᎠᏓᏬᎠ,verb (v.i.),,,he/she is bathing,,àdạwó’a,1st person singular with animate/ inanimate object:gadawo’a^ᎦᏓᏬᎠ^gạdạwó’a|3rd person singular non-progressive remote past tense:udawo’v’i^ᎤᏓᏬᎥᎢ^ùdạwó’v̌’i|3rd person singular present habitual:adawosgo’i^ᎠᏓᏬᏍᎪᎢ^àdạwósgó’i|imperative with animate/ inanimate direct objects:hadawoja^ᎭᏓᏬᏣ^hạdạwǒja|3rd person singular infinitive:udawosdi^ᎤᏓᏬᏍᏗ^udạwòsdi,,False,60.1
58,ced,adawosdi’i,ᎠᏓᏬᏍᏗᎢ,noun,,,swimming pool,,ạdạwòsdi̋’i,plural:didawosdi’i^ᏗᏓᏬᏍᏗᎢ^didạwòsdi̋’i,,False,61.1
59,ced,adayvlatvsgi,ᎠᏓᏴᎳᏛᏍᎩ,noun,,,television,,ạdạyv̌lạtṿsgi,plural:didayvlatvsgi^ᏗᏓᏴᎳᏛᏍᎩ^didạyv̌lạtṿsgi,,False,62.1
60,ced,adeha,ᎠᏕᎭ,verb (v.i.),,,he/she is giving him/her it,,àdéha,1st person singular with animate/ inanimate object:jideha^ᏥᏕᎭ^jidéha|3rd person singular non-progressive remote past tense:udelv’i^ᎤᏕᎸᎢ^ùdélv̌’i|3rd person singular present habitual:adeho’i^ᎠᏕᎰᎢ^àdéhó’i|imperative with animate/ inanimate direct objects:hidisi^ᎯᏗᏏ^hidìsi|3rd person singular infinitive:udehdi^ᎤᏕᏗ^udẹ́hdi,,False,63.1
61,ced,adehlohgwa’a,ᎠᏕᏠᏆᎠ,verb (v.t.),,,he/she is learning,,àdehlọhgwạ́’a,1st person singular with animate/ inanimate object:gadelohgwa’a^ᎦᏕᎶᏆᎠ^gạdèlọhgwạ́’a|3rd person singular non-progressive remote past tense:udehlohgwa’v’i^ᎤᏕᏠᏆᎥᎢ^ùdehlọhgwạ́’v̌’i|3rd person singular present habitual:adehlohgwasgo’i^ᎠᏕᏠᏆᏍᎪᎢ^àdehlọhgwâsgó’i|imperative with animate/ inanimate direct objects:hadehlohgwa^ᎭᏕᏠᏆ^hạdehlọhgwa|3rd person singular infinitive:udehlohgwasdi^ᎤᏕᏠᏆᏍᏗ^udehlọhgwàsdi,,False,64.1
