Index,Source,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Cross_Reference,Entry_Tone,Other_Forms,Notes,Locked,Source_ID
793,ced,gageda,ᎦᎨᏓ,adjective,,,heavy,,gage̋da,plural animate:dinigeda^ᏗᏂᎨᏓ^dinige̋da|plural inanimate:digageda^ᏗᎦᎨᏓ^dịgage̋da,,False,822.1
794,ced,gagi,ᎦᎩ,pronoun,,,who,,gâgị́,,,False,823.1
795,ced,gago,ᎦᎪ,pronoun,,,who,,gágọ,,,False,824.1
796,ced,gagwatdi,ᎦᏆᏘᏗ,noun,,,wheel,,gágwạtdi,plural:digagwatdi^ᏗᎦᏆᏘᏗ^dịgágwạtdi,,False,825.1
797,ced,gagwayohiha,ᎦᏆᏲᎯᎭ,verb (v.t.),,,he/she is pecking it,,gagwạyohị́ha,1st person singular with animate object:jiyagwayo’iha^ᏥᏯᏆᏲᎢᎭ^jiyagwạyọ’ị́ha|1st person singular with inanimate object:jigwayo’iha^ᏥᏆᏲᎢᎭ^jigwạyọ’ị́ha|3rd person singular non-progressive remote past tense:uwagwayohlv’i^ᎤᏩᏆᏲᏢᎢ^ùwagwạyohlv̌’i|3rd person singular present habitual:gagwayohiho’i^ᎦᏆᏲᎯᎰᎢ^gagwạyohịhó’i|imperative with animate direct objects:hiyagwayo’a^ᎯᏯᏆᏲᎠ^hiyagwạyọ’a|imperative with animate/ inanimate direct objects:higwayoha^ᎯᏆᏲᎭ^higwạyǒha|3rd person singular infinitive:uwagwayosdi^ᎤᏩᏆᏲᏍᏗ^ụwagwạyosdi,,False,826.1
798,ced,gahatdi,ᎦᎭᏘᏗ,noun,,,wedge,,gahạtdi,plural:digahatdi^ᏗᎦᎭᏘᏗ^dịgahạtdi,,False,827.1
799,ced,gahldiha,ᎦᎵᏗᎭ,verb (v.t.),,,he/she is putting it into a container,,gạhldị́ha,1st person singular with animate/ inanimate object:jilodiha^ᏥᎶᏗᎭ^jịlòdị́ha|3rd person singular non-progressive remote past tense:uhltanv’i^ᎤᎵᏔᏅᎢ^ùhltạnv́’i|3rd person singular present habitual:gahldisgo’i^ᎦᎵᏗᏍᎪᎢ^gạhldǐsgọ́’i|imperative with animate/ inanimate direct objects:hihlda^ᎯᎵᏓ^hịhlda|3rd person singular infinitive:uhldohdi^ᎤᎵᏙᏗ^ụhldọ́hdi,,False,828.1
800,ced,gahldohdi,ᎦᎵᏙᏗ,noun,,,container,,gạ́hldọhdi,plural:digahldohdi^ᏗᎦᎵᏙᏗ^dịgạ́hldọhdi,,False,829.1
801,ced,gahlgwogi,ᎦᎵᏉᎩ,adjective,,,seven,,gạhlgwǒgi,,,False,830.1
802,ced,gahlgwogine’i,ᎦᎵᏉᎩᏁᎢ,adjective,,,seventh,,gạhlgwogine̋’i,,,False,831.1
803,ced,gahlida,ᎦᏟᏓ,noun,,,arrow,,gáhlịda,plural:digahlida^ᏗᎦᏟᏓ^dịgáhlịda,,False,832.1
804,ced,gahliha,ᎦᏟᎭ,verb (v.i.),,,he/she is sleeping,,gạhlị́ha,1st person singular with animate/ inanimate object:ji’liha^ᏥᎵᎭ^jị’lị́ha|3rd person singular present habitual:gahliho’i^ᎦᏟᎰᎢ^gạhlịhó’i|imperative with animate/ inanimate direct objects:hihlvna^ᎯᏢᎾ^hịhlv̌na|3rd person singular infinitive:uhlvnhdi^ᎤᏢᏅᏗ^uhlṿnhdi,,False,833.1
805,ced,gahlisiha,ᎦᏟᏏᎭ,verb (v.t.),,,he/she is gathering it,,gáhlisị́ha,1st person singular with animate/ inanimate object:jihlisiha^ᏥᏟᏏᎭ^jíhlisị́ha|3rd person singular non-progressive remote past tense:uwahlisahnv’i^ᎤᏩᏟᏌᏅᎢ^ùwáhlisạhnv̌’i|3rd person singular present habitual:gahlisisgo’i^ᎦᏟᏏᏍᎪᎢ^gáhlisǐsgọ́’i|imperative with animate/ inanimate direct objects:hihlisa^ᎯᏟᏌ^hìhlǐsa|3rd person singular infinitive:uwahlisohdi^ᎤᏩᏟᏐᏗ^ụwàhlǐsọ́hdi,,False,834.1
806,ced,gahlja’di,ᎦᎵᏣᏗ,noun,,,bow,,gạhljạ’di,plural:digahlja’di^ᏗᎦᎵᏣᏗ^dịgạhljạ’di,,False,835.1
807,ced,gahljode,ᎦᎵᏦᏕ,noun,,,house,,gạhljǒde,,,False,836.1
808,ced,gahljotdohdi,ᎦᎵᏦᏛᏙᏗ,noun,,,roofing,,gạhljótdọhdi,,,False,837.1
809,ced,gahljotv’i,ᎦᎵᏦᏛᎢ,noun,,,tent,,gạhljotv̋’i,plural:degahljotv’i^ᏕᎦᎵᏦᏛᎢ^degạ́hljotv̋’i,,False,838.1
810,ced,gahlusga,ᎦᏡᏍᎦ,verb (v.t.),,,he/she is piling it up,,gáhlụsga,1st person singular with animate/ inanimate object:jihlusga^ᏥᏡᏍᎦ^jíhlụsga|3rd person singular non-progressive remote past tense:uwahlunv’i^ᎤᏩᏡᏅᎢ^ùwáhlụnv̌’i|3rd person singular present habitual:gahlusgo’i^ᎦᏡᏍᎪᎢ^gáhlụsgó’i|imperative with animate/ inanimate direct objects:hihluga^ᎯᏡᎦ^hìhlùga|3rd person singular infinitive:uwahlusdi^ᎤᏩᏡᏍᏗ^ụwàhlụ́sdi,,False,839.1
